"Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
"Plants vs. Zombies: Garden Warfare","PS3",2014,"Shooter","Electronic Arts",0.22,0.4,0.01,0.14,0.76
"Raving Rabbids: Travel in Time","Wii",2010,"Adventure","Ubisoft",0.22,0.47,0.0,0.08,0.76
"The Sims 3","3DS",2011,"Simulation","Electronic Arts",0.3,0.37,0.03,0.07,0.76
"Mortal Kombat","PSV",2012,"Fighting","Warner Bros. Interactive Entertainment",0.47,0.18,0.0,0.12,0.76
"Lost Planet 2","X360",2010,"Shooter","Capcom",0.38,0.24,0.08,0.06,0.76
"SoulCalibur V","PS3",2012,"Fighting","Namco Bandai Games",0.35,0.24,0.07,0.1,0.76
"Portal 2","PC",2011,"Shooter","Valve Software",0.33,0.32,0.0,0.11,0.76
"Pro Evolution Soccer 2015","PS4",2014,"Sports","Konami Digital Entertainment",0.09,0.43,0.11,0.13,0.76
"FIFA Soccer 11","PS2",2010,"Sports","Electronic Arts",0.11,0.29,0.0,0.36,0.76
"Assassin's Creed: Revelations","PC",2011,"Action","Ubisoft",0.14,0.48,0.0,0.14,0.76
"FIFA 15","Wii",2014,"Sports","Electronic Arts",0.24,0.46,0.0,0.06,0.76
"Dark Souls II","X360",2014,"Role-Playing","Namco Bandai Games",0.48,0.2,0.01,0.06,0.76
"Monopoly Streets","Wii",2010,"Misc","Electronic Arts",0.24,0.44,0.0,0.08,0.76
"Total War: Rome II","PC",2013,"Strategy","Sega",0.12,0.53,0.0,0.11,0.76
"Rare Replay","XOne",2015,"Misc","Microsoft Game Studios",0.47,0.21,0.01,0.07,0.75
"Tearaway","PSV",2013,"Adventure","Sony Computer Entertainment Europe",0.17,0.39,0.0,0.19,0.75
"DJ Hero 2","PS3",2010,"Misc","Activision",0.47,0.19,0.0,0.09,0.75
"[Prototype 2]","PS3",2012,"Action","Activision",0.36,0.28,0.0,0.11,0.75
"The Amazing Spider-Man (Console Version)","X360",2012,"Action","Activision",0.43,0.26,0.0,0.06,0.75
"Split/Second","PS3",2010,"Racing","Disney Interactive Studios",0.31,0.31,0.01,0.12,0.75
"Just Dance 2015","WiiU",2014,"Misc","Ubisoft",0.4,0.28,0.0,0.07,0.75
"Borderlands: The Pre-Sequel","X360",2014,"Shooter","Take-Two Interactive",0.46,0.22,0.01,0.06,0.75
"LittleBigPlanet 3","PS3",2014,"Platform","Sony Computer Entertainment",0.2,0.43,0.01,0.11,0.75
"The Walking Dead: Season One","X360",2012,"Adventure","Avanquest Software",0.55,0.14,0.0,0.05,0.75
"Ace Combat: Assault Horizon","PS3",2011,"Action","Namco Bandai Games",0.3,0.16,0.22,0.07,0.74
"Resonance of Fate","PS3",2010,"Role-Playing","Sega",0.2,0.22,0.24,0.09,0.74
"Final Fantasy XIII-2","X360",2011,"Role-Playing","Square Enix",0.36,0.3,0.02,0.06,0.74
"LEGO Batman 2: DC Super Heroes","3DS",2012,"Action","Warner Bros. Interactive Entertainment",0.41,0.27,0.0,0.06,0.74
"Mario & Luigi: Paper Jam","3DS",2015,"Role-Playing","Nintendo",0.16,0.3,0.25,0.04,0.74
"Brink","PS3",2011,"Shooter","Bethesda Softworks",0.29,0.32,0.01,0.12,0.74
"LEGO Marvel Super Heroes","WiiU",2013,"Action","Warner Bros. Interactive Entertainment",0.31,0.35,0.02,0.06,0.74
"Blur","PS3",2010,"Racing","Activision",0.22,0.37,0.02,0.13,0.74
"Crysis 2","PC",2011,"Action","Electronic Arts",0.16,0.45,0.0,0.13,0.74
"Naruto Shippuden: Ultimate Ninja Storm Generations","PS3",2012,"Fighting","Namco Bandai Games",0.27,0.25,0.14,0.08,0.74
"Persona 4: Arena","PS3",2012,"Fighting","Atlus",0.3,0.12,0.24,0.07,0.74
"Star Ocean: The Last Hope International","PS3",2010,"Role-Playing","Square Enix",0.28,0.16,0.22,0.08,0.73
"Call of Duty: Ghosts","PC",2013,"Shooter","Activision",0.23,0.41,0.0,0.09,0.73
"F1 2011","X360",2011,"Racing","Codemasters",0.11,0.51,0.01,0.09,0.73
"NHL 11","X360",2010,"Sports","Electronic Arts",0.61,0.07,0.0,0.05,0.73
"Dragon Age: Inquisition","PC",2014,"Role-Playing","Electronic Arts",0.32,0.34,0.0,0.07,0.73
"DiRT 3","X360",2011,"Racing","Codemasters",0.23,0.41,0.01,0.08,0.73
"Just Dance Wii","Wii",2011,"Misc","Nintendo",0.0,0.0,0.73,0.0,0.73
"Ratchet & Clank Collection","PS3",2012,"Action","Sony Computer Entertainment",0.47,0.14,0.02,0.09,0.73
"SSX","X360",2012,"Sports","Electronic Arts",0.38,0.28,0.0,0.06,0.72
"Style Savvy: Trendsetters","3DS",2012,"Simulation","Nintendo",0.16,0.02,0.53,0.01,0.72
"XCOM: Enemy Unknown","PC",2012,"Strategy","Take-Two Interactive",0.26,0.36,0.0,0.1,0.72
"FIFA Soccer 13","Wii",2012,"Action","Electronic Arts",0.19,0.46,0.0,0.08,0.72
"God Eater","PSP",2010,"Action","Unknown",0.0,0.0,0.72,0.0,0.72
"Final Fantasy XIV: A Realm Reborn","PS4",2014,"Role-Playing","Square Enix",0.32,0.22,0.08,0.1,0.72
"Terraria","X360",2013,"Action","505 Games",0.35,0.31,0.0,0.06,0.72
"James Bond 007: Blood Stone","PS3",2010,"Shooter","Activision",0.18,0.38,0.02,0.13,0.72
"Driver: San Francisco","X360",2011,"Racing","Ubisoft",0.25,0.39,0.0,0.08,0.72
"Monster Hunter Tri","WiiU",2012,"Role-Playing","Nintendo",0.26,0.19,0.22,0.04,0.72
"Catherine","PS3",2011,"Adventure","Deep Silver",0.3,0.15,0.2,0.07,0.72
"FIFA Soccer 11","DS",2010,"Sports","Electronic Arts",0.13,0.5,0.0,0.09,0.72
"Battlefield: Bad Company 2","PC",2010,"Shooter","Electronic Arts",0.19,0.53,0.0,0.0,0.71
"MLB 13: The Show","PS3",2013,"Sports","Sony Computer Entertainment",0.66,0.0,0.0,0.05,0.71
"Omerta: City of Gangsters","X360",2011,"Simulation","Konami Digital Entertainment",0.42,0.23,0.0,0.06,0.71
"Dragon Quest Heroes: The World's Tree Woe and the Blight Below","PS4",2015,"Action","Square Enix",0.16,0.13,0.37,0.06,0.71
"Top Spin 4","PS3",2011,"Sports","Take-Two Interactive",0.17,0.4,0.0,0.14,0.71
"Persona Q: Shadow of the Labyrinth","3DS",2014,"Role-Playing","Nippon Ichi Software",0.33,0.07,0.27,0.04,0.71
"Final Fantasy X/X-2 HD Remaster","PS4",2015,"Role-Playing","Square Enix",0.29,0.25,0.06,0.11,0.71
"MLB 10: The Show","PS3",2010,"Sports","Sony Computer Entertainment",0.66,0.0,0.0,0.05,0.71
"Rhythm Heaven: The Best+","3DS",2015,"Misc","Nintendo",0.0,0.0,0.71,0.0,0.71
"LEGO Harry Potter: Years 1-4","PSP",2010,"Action","Warner Bros. Interactive Entertainment",0.14,0.37,0.0,0.19,0.71
"Football Manager 2014","PC",2013,"Sports","Sega",0.0,0.6,0.0,0.1,0.71
"WWE SmackDown vs. Raw 2011","PSP",2010,"Fighting","THQ",0.22,0.31,0.0,0.17,0.71
"Metal Gear Solid V: The Phantom Pain","XOne",2015,"Action","Konami Digital Entertainment",0.37,0.26,0.01,0.06,0.71
"Ratchet & Clank: Into the Nexus","PS3",2013,"Shooter","Sony Computer Entertainment",0.3,0.29,0.0,0.11,0.71
"2014 FIFA World Cup Brazil","PS3",2014,"Sports","Electronic Arts",0.15,0.39,0.01,0.16,0.71
"London 2012: The Official Video Game of the Olympic Games","PS3",2012,"Sports","Sega",0.06,0.5,0.0,0.15,0.7
"NHL 12","X360",2011,"Sports","Electronic Arts",0.55,0.1,0.0,0.05,0.7
"Lalaloopsy","DS",2011,"Simulation","Activision",0.54,0.1,0.0,0.06,0.7
"The Sims 3","DS",2010,"Simulation","Electronic Arts",0.39,0.25,0.0,0.06,0.7
"Skylanders: Trap Team","WiiU",2014,"Action","Activision",0.39,0.25,0.0,0.06,0.7
"Prince of Persia: The Forgotten Sands","PS3",2010,"Action","Ubisoft",0.19,0.36,0.01,0.13,0.7
"Book of Spells","PS3",2012,"Action","Sony Computer Entertainment",0.13,0.4,0.0,0.16,0.7
"Metal Gear Solid V: The Phantom Pain","PS3",2015,"Action","Konami Digital Entertainment",0.21,0.18,0.22,0.08,0.7
"MotionSports","X360",2010,"Sports","Ubisoft",0.38,0.26,0.0,0.06,0.7
"WWE 2K15","X360",2014,"Sports","Take-Two Interactive",0.38,0.26,0.0,0.06,0.69
"The LEGO Movie Videogame","3DS",2014,"Action","Warner Bros. Interactive Entertainment",0.28,0.31,0.05,0.05,0.69
"Disney Tangled","Wii",2010,"Action","Disney Interactive Studios",0.47,0.17,0.0,0.05,0.69
"Minecraft: Story Mode","PS3",2015,"Adventure","Mojang",0.25,0.33,0.0,0.11,0.69
"Skylanders: Trap Team","PS3",2014,"Action","Activision",0.24,0.33,0.0,0.12,0.69
"The Sly Collection","PS3",2010,"Platform","Sony Computer Entertainment",0.52,0.09,0.01,0.07,0.69
"One Piece: Pirate Warriors 2","PS3",2013,"Action","Namco Bandai Games",0.0,0.2,0.42,0.07,0.69
"Assassin's Creed IV: Black Flag","PC",2013,"Action","Ubisoft",0.22,0.38,0.0,0.1,0.69
"Need for Speed: Shift 2 Unleashed","PS3",2011,"Racing","Electronic Arts",0.2,0.36,0.0,0.13,0.69
"Nintendo Presents: New Style Boutique 2 - Fashion Forward","3DS",2015,"Misc","Nintendo",0.01,0.61,0.02,0.04,0.69
"Frozen: Olaf's Quest","DS",2013,"Platform","Disney Interactive Studios",0.28,0.35,0.0,0.06,0.69
"The Sims: Medieval","PC",2011,"Simulation","Electronic Arts",0.27,0.32,0.0,0.1,0.69
"Plants vs. Zombies: Garden Warfare","XOne",2014,"Shooter","Electronic Arts",0.39,0.23,0.0,0.06,0.68
"Kirby's Dream Collection: Special Edition","Wii",2012,"Action","Nintendo",0.34,0.0,0.33,0.02,0.68
"The Last Story","Wii",2011,"Role-Playing","Nintendo",0.32,0.13,0.18,0.04,0.68
"Disney Infinity 3.0","PS4",2015,"Action","Disney Interactive Studios",0.21,0.36,0.0,0.11,0.68
"Rayman Legends","WiiU",2013,"Platform","Ubisoft",0.26,0.33,0.03,0.06,0.68
"Metro: Last Light","PS4",2014,"Action","Deep Silver",0.22,0.3,0.04,0.12,0.68
"Fossil Fighters: Champions","DS",2010,"Role-Playing","Nintendo",0.32,0.0,0.34,0.02,0.68
"Sniper Elite 3","PS4",2014,"Shooter","505 Games",0.22,0.33,0.0,0.13,0.68
"Doom (2016)","XOne",2016,"Shooter","Bethesda Softworks",0.39,0.23,0.0,0.06,0.68
"Need for Speed (2015)","XOne",2015,"Racing","Electronic Arts",0.3,0.33,0.0,0.06,0.68
"Country Dance","Wii",2011,"Misc","Funbox Media",0.59,0.04,0.0,0.04,0.68
"Need for Speed Rivals","XOne",2013,"Racing","Electronic Arts",0.45,0.17,0.0,0.05,0.67
"Lollipop Chainsaw","PS3",2012,"Action","Warner Bros. Interactive Entertainment",0.26,0.21,0.11,0.09,0.67
"Club Penguin: Elite Penguin Force - Herbert's Revenge","DS",2010,"Adventure","Disney Interactive Studios",0.4,0.22,0.0,0.06,0.67
"Wolfenstein: The New Order","XOne",2014,"Shooter","Bethesda Softworks",0.33,0.28,0.0,0.06,0.67
"The Biggest Loser: Challenge","Wii",2010,"Sports","THQ",0.49,0.13,0.0,0.05,0.67
"The Witcher 3: Wild Hunt","PC",2015,"Role-Playing","Namco Bandai Games",0.2,0.42,0.0,0.05,0.67
"The LEGO Movie Videogame","PS4",2014,"Action","Warner Bros. Interactive Entertainment",0.24,0.31,0.01,0.11,0.67
"RIFT","PC",2011,"Role-Playing","Unknown",0.44,0.16,0.0,0.07,0.67
"Castlevania: Lords of Shadow","X360",2010,"Action","Konami Digital Entertainment",0.42,0.18,0.01,0.05,0.67
"BioShock Infinite","PC",2013,"Shooter","Take-Two Interactive",0.28,0.3,0.0,0.08,0.67
"Minecraft: Story Mode","PS4",2015,"Adventure","Mojang",0.23,0.33,0.0,0.11,0.67
"Crafting Mama","DS",2010,"Simulation","505 Games",0.4,0.21,0.01,0.05,0.67
"Rock Band 3","Wii",2010,"Misc","MTV Games",0.56,0.06,0.0,0.05,0.67
"Peppa Pig: Fun and Games","DS",2010,"Misc","Ubisoft",0.0,0.58,0.0,0.09,0.67
"NHL 13","X360",2012,"Sports","Electronic Arts",0.51,0.11,0.0,0.05,0.67
"Borderlands: The Pre-Sequel","PS3",2014,"Shooter","Take-Two Interactive",0.25,0.26,0.05,0.11,0.67
"The Sims 3: High-End Loft Stuff","PC",2010,"Simulation","Electronic Arts",0.01,0.53,0.0,0.12,0.67
"The LEGO Movie Videogame","WiiU",2014,"Action","Warner Bros. Interactive Entertainment",0.35,0.23,0.03,0.06,0.66
"Puzzler Brain Games","Wii",2012,"Puzzle","Namco Bandai Games",0.0,0.0,0.66,0.0,0.66
"Rayman Legends","PS3",2013,"Platform","Ubisoft",0.14,0.38,0.0,0.14,0.66
"Rocksmith 2014","PC",2013,"Misc","Ubisoft",0.35,0.24,0.0,0.07,0.66
"Napoleon: Total War","PC",2010,"Strategy","Sega",0.02,0.52,0.0,0.12,0.66
"Fist of the North Star: Ken's Rage","PS3",2010,"Action","Ubisoft Annecy",0.06,0.03,0.55,0.02,0.66
"Toy Story 3: The Video Game","PSP",2010,"Action","Disney Interactive Studios",0.27,0.25,0.0,0.14,0.66
"LEGO Marvel Super Heroes","PSV",2013,"Action","Warner Bros. Interactive Entertainment",0.15,0.35,0.0,0.16,0.66
"Gods Eater Burst","PSP",2010,"Action","Namco Bandai Games",0.03,0.0,0.62,0.0,0.66
"F1 2015","PS4",2015,"Racing","Codemasters",0.09,0.44,0.03,0.09,0.66
"Disney Infinity 2.0: Marvel Super Heroes","WiiU",2014,"Action","Disney Interactive Studios",0.38,0.22,0.0,0.06,0.65
"NHL 13","PS3",2012,"Sports","Electronic Arts",0.33,0.22,0.0,0.1,0.65
"The Evil Within","XOne",2014,"Action","Bethesda Softworks",0.35,0.25,0.0,0.05,0.65
"MLB 14: The Show","PS4",2014,"Sports","Sony Computer Entertainment America",0.58,0.0,0.0,0.07,0.65
"Disney Sing It: Party Hits","Wii",2010,"Misc","Disney Interactive Studios",0.5,0.11,0.0,0.05,0.65
"Dead or Alive 5","PS3",2012,"Fighting","Tecmo Koei",0.23,0.15,0.2,0.07,0.65
"Dragon Age: Inquisition","PS3",2014,"Role-Playing","Electronic Arts",0.26,0.23,0.05,0.1,0.65
"The Black Eyed Peas Experience","Wii",2011,"Misc","Ubisoft",0.39,0.2,0.0,0.06,0.65
"Sengoku Basara: Samurai Heroes","PS3",2010,"Action","Capcom",0.17,0.04,0.4,0.03,0.65
"Crysis 3","PC",2013,"Shooter","Electronic Arts",0.17,0.39,0.0,0.09,0.64
"Diablo III","XOne",2014,"Role-Playing","Activision",0.35,0.24,0.0,0.05,0.64
"Aliens: Colonial Marines","PS3",2013,"Shooter","Sega",0.2,0.31,0.0,0.13,0.64
"Dragon Ball: Raging Blast 2","X360",2010,"Fighting","Namco Bandai Games",0.49,0.09,0.01,0.05,0.64
"NBA 2K17","XOne",2016,"Sports","Take-Two Interactive",0.54,0.04,0.0,0.07,0.64
"XCOM: Enemy Unknown","X360",2012,"Strategy","Take-Two Interactive",0.36,0.23,0.0,0.05,0.64
"Rayman 3D","3DS",2011,"Platform","Ubisoft",0.23,0.35,0.0,0.06,0.64
"LEGO Marvel's Avengers","PS4",2016,"Action","Warner Bros. Interactive Entertainment",0.25,0.29,0.0,0.1,0.64
"Dragon Age II","PC",2011,"Action","Electronic Arts",0.23,0.33,0.0,0.09,0.64
"NieR","PS3",2010,"Role-Playing","Square Enix",0.17,0.2,0.2,0.07,0.64
"Gravity Rush","PSV",2012,"Action","Sony Computer Entertainment",0.26,0.2,0.09,0.1,0.64
"White Knight Chronicles II","PS3",2010,"Role-Playing","Sony Computer Entertainment",0.23,0.09,0.27,0.05,0.64
"LEGO Dimensions","PS4",2015,"Action","Warner Bros. Interactive Entertainment",0.22,0.32,0.0,0.1,0.64
"Start the Party!","PS3",2010,"Misc","Sony Computer Entertainment",0.07,0.42,0.0,0.14,0.64
"The Walking Dead: Survival Instinct","X360",2013,"Shooter","Activision",0.46,0.12,0.0,0.05,0.64
"Middle-Earth: Shadow of Mordor","PS3",2014,"Action","Warner Bros. Interactive Entertainment",0.2,0.33,0.01,0.1,0.64
"Red Steel 2","Wii",2010,"Shooter","Ubisoft",0.36,0.21,0.01,0.06,0.63
"Just Dance 2015","X360",2014,"Misc","Ubisoft",0.41,0.16,0.0,0.06,0.63
"F1 2013","PS3",2013,"Racing","Codemasters",0.01,0.45,0.03,0.15,0.63
"Disney Universe","PS3",2011,"Action","Disney Interactive Studios",0.3,0.23,0.0,0.09,0.63
"Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb","3DS",2012,"Misc","Namco Bandai Games",0.0,0.0,0.63,0.0,0.63
"DJ Hero 2","Wii",2010,"Misc","Activision",0.49,0.09,0.0,0.04,0.63
"Angry Birds Trilogy","3DS",2012,"Action","Activision",0.38,0.2,0.0,0.05,0.63
"Just Dance 3","PS3",2011,"Misc","Ubisoft",0.33,0.21,0.0,0.09,0.63
"Call of Duty: Black Ops","DS",2010,"Shooter","Activision",0.54,0.05,0.0,0.04,0.63
"God of War III","PS4",2015,"Action","Sony Computer Entertainment",0.23,0.29,0.01,0.1,0.63
"The Sims 3: Generations","PC",2011,"Simulation","Electronic Arts",0.4,0.23,0.0,0.0,0.63
"The Crew","XOne",2014,"Racing","Ubisoft",0.24,0.34,0.0,0.05,0.63
"Dragon Quest Monsters Joker 3","3DS",2016,"Role-Playing","Square Enix",0.0,0.0,0.63,0.0,0.63
"Sonic & All-Stars Racing Transformed","X360",2012,"Racing","Sega",0.2,0.37,0.0,0.06,0.63
"Tiger Woods PGA Tour 12: The Masters","X360",2011,"Sports","Electronic Arts",0.4,0.17,0.0,0.05,0.63
"LEGO Jurassic World","XOne",2015,"Action","Warner Bros. Interactive Entertainment",0.35,0.22,0.0,0.06,0.63
"Prince of Persia: The Forgotten Sands","X360",2010,"Action","Ubisoft",0.3,0.26,0.0,0.06,0.62
"Vanquish","PS3",2010,"Shooter","Sega",0.21,0.22,0.11,0.09,0.62
"Far Cry 4","PC",2014,"Shooter","Ubisoft",0.15,0.42,0.0,0.05,0.62
"LEGO Pirates of the Caribbean: The Video Game","3DS",2011,"Action","Disney Interactive Studios",0.29,0.28,0.0,0.06,0.62
"Pro Evolution Soccer 2015","PS3",2014,"Sports","Konami Digital Entertainment",0.1,0.23,0.22,0.08,0.62
"Evolve","XOne",2015,"Shooter","Take-Two Interactive",0.36,0.2,0.0,0.06,0.62
"Dead Island: Riptide","PS3",2013,"Action","Deep Silver",0.26,0.2,0.07,0.09,0.62
"Warriors Orochi 3","PS3",2011,"Action","Ubisoft Annecy",0.0,0.04,0.57,0.01,0.62
"FIFA Soccer","PSV",2012,"Sports","Electronic Arts",0.17,0.34,0.02,0.09,0.62
"Wipeout: The Game","DS",2010,"Misc","Activision",0.58,0.0,0.0,0.04,0.62
"Metal Gear Solid V: Ground Zeroes","PS3",2014,"Action","Konami Digital Entertainment",0.14,0.14,0.27,0.06,0.62
"Dragon Ball Z: Ultimate Tenkaichi","PS3",2011,"Fighting","Namco Bandai Games",0.27,0.18,0.09,0.08,0.62
"Rocksmith 2014","PS4",2014,"Misc","Ubisoft",0.34,0.17,0.0,0.11,0.62
"Toshochu: Run for Money","3DS",2012,"Adventure","Namco Bandai Games",0.0,0.0,0.62,0.0,0.62
"Dragon Quest Monsters: Joker 2 Professional","DS",2011,"Role-Playing","Square Enix",0.0,0.0,0.62,0.0,0.62
"NHL 16","PS4",2015,"Sports","Electronic Arts",0.35,0.15,0.0,0.11,0.61
"Plants vs. Zombies: Garden Warfare","PS4",2014,"Shooter","Electronic Arts",0.21,0.29,0.01,0.11,0.61
"Dynasty Warriors 8","PS3",2013,"Action","Tecmo Koei",0.12,0.11,0.34,0.05,0.61
"Disney Sing It: Family Hits","Wii",2010,"Misc","Disney Interactive Studios",0.39,0.18,0.0,0.05,0.61
"New Carnival Games","Wii",2010,"Misc","Take-Two Interactive",0.35,0.21,0.0,0.05,0.61
"Just Dance 2014","WiiU",2013,"Misc","Ubisoft",0.33,0.23,0.0,0.05,0.61
"Cooking Mama 4: Kitchen Magic!","3DS",2011,"Simulation","505 Games",0.5,0.07,0.0,0.04,0.61
"Cabela's Monster Buck Hunter","Wii",2010,"Sports","Activision",0.58,0.0,0.0,0.03,0.61
"pro evolution soccer 2011","X360",2010,"Sports","Konami Digital Entertainment",0.09,0.44,0.0,0.07,0.61
"Yakuza: Dead Souls","PS3",2011,"Shooter","Sega",0.09,0.07,0.42,0.03,0.61
"Pac-Man Party","Wii",2010,"Misc","Namco Bandai Games",0.47,0.09,0.01,0.04,0.61
"Split/Second","X360",2010,"Racing","Disney Interactive Studios",0.32,0.23,0.0,0.06,0.61
"Fighters Uncaged","X360",2010,"Fighting","Ubisoft",0.31,0.24,0.0,0.06,0.61
"Hot Shots Golf: World Invitational","PSV",2011,"Sports","Sony Computer Entertainment",0.19,0.11,0.25,0.06,0.6
"MonHun Nikki: Poka Poka Ailu Mura","PSP",2010,"Role-Playing","Capcom",0.0,0.0,0.6,0.0,0.6
"Phineas and Ferb: Across the 2nd Dimension","Wii",2011,"Action","Disney Interactive Studios",0.36,0.19,0.0,0.05,0.6
"Disney Infinity","WiiU",2013,"Action","Disney Interactive Studios",0.33,0.22,0.0,0.05,0.6
"LEGO Jurassic World","3DS",2015,"Action","Warner Bros. Interactive Entertainment",0.31,0.22,0.03,0.05,0.6
"Alice: Madness Returns","PS3",2011,"Adventure","Electronic Arts",0.22,0.25,0.04,0.09,0.6
"LEGO The Hobbit","PS4",2014,"Action","Warner Bros. Interactive Entertainment",0.12,0.37,0.0,0.1,0.6
"Tomb Raider (2013)","XOne",2014,"Action","Square Enix",0.34,0.21,0.0,0.05,0.6
"Skylanders SWAP Force","WiiU",2013,"Platform","Activision",0.4,0.15,0.0,0.06,0.6
"XCOM: Enemy Unknown","PS3",2012,"Strategy","Take-Two Interactive",0.24,0.25,0.0,0.11,0.6
"Blur","X360",2010,"Racing","Activision",0.25,0.28,0.0,0.06,0.6
"Scribblenauts: Unlimited","3DS",2012,"Action","Warner Bros. Interactive Entertainment",0.55,0.01,0.0,0.04,0.6
"NHL 11","PS3",2010,"Sports","Electronic Arts",0.4,0.13,0.0,0.07,0.6
"Kinect Rush: A Disney Pixar Adventure","X360",2012,"Adventure","Microsoft Game Studios",0.38,0.16,0.0,0.05,0.6
"Disney Infinity 2.0: Marvel Super Heroes","PS4",2014,"Action","Disney Interactive Studios",0.26,0.24,0.0,0.1,0.6
"The Fight: Lights Out","PS3",2010,"Fighting","Sony Computer Entertainment",0.29,0.22,0.0,0.09,0.6
"Rayman Origins","PSV",2012,"Platform","Ubisoft",0.13,0.35,0.0,0.11,0.59
"London 2012: The Official Video Game of the Olympic Games","X360",2012,"Sports","Sega",0.07,0.46,0.0,0.07,0.59
"Jeopardy!","Wii",2010,"Misc","THQ",0.56,0.0,0.0,0.03,0.59
"Assassin's Creed: Brotherhood","PC",2011,"Action","Ubisoft",0.15,0.34,0.0,0.1,0.59
"Kane & Lynch 2: Dog Days","PS3",2010,"Shooter","Square Enix",0.17,0.28,0.05,0.1,0.59
"Total War: Shogun 2","PC",2011,"Strategy","Sega",0.19,0.31,0.0,0.09,0.59
"Yakuza 5","PS3",2012,"Action","Sega",0.0,0.0,0.59,0.0,0.59
"Payday 2","X360",2013,"Shooter","505 Games",0.33,0.21,0.0,0.05,0.59
"SoulCalibur V","X360",2012,"Fighting","Namco Bandai Games",0.39,0.14,0.02,0.04,0.59
"NHL 12","PS3",2011,"Sports","Electronic Arts",0.36,0.16,0.0,0.07,0.59
"Tales of Zestiria","PS3",2015,"Role-Playing","Namco Bandai Games",0.05,0.09,0.42,0.03,0.59
"Silent Hill: Shattered Memories","PS2",2010,"Action","Konami Digital Entertainment",0.13,0.22,0.01,0.23,0.59
"Game Party in Motion","X360",2010,"Misc","Warner Bros. Interactive Entertainment",0.36,0.18,0.0,0.05,0.59
"Dark Souls II","PS4",2015,"Role-Playing","Namco Bandai Games",0.2,0.22,0.08,0.08,0.59
"Deus Ex: Human Revolution","PC",2011,"Shooter","Square Enix",0.25,0.25,0.0,0.09,0.59
"Zumba Fitness","PS3",2010,"Sports","505 Games",0.28,0.21,0.0,0.09,0.59
"Doom 3 BFG Edition","PS3",2012,"Shooter","Bethesda Softworks",0.26,0.22,0.0,0.1,0.59
"Just Dance 2016","WiiU",2015,"Misc","Ubisoft",0.28,0.25,0.0,0.05,0.58
"Cabela's Dangerous Hunts 2011","Wii",2010,"Sports","Activision",0.53,0.02,0.0,0.04,0.58
"NHL 15","PS4",2014,"Sports","Electronic Arts",0.3,0.18,0.0,0.1,0.58
"Kinect Sports Rivals","XOne",2014,"Sports","Microsoft Game Studios",0.3,0.22,0.02,0.04,0.58
"Rayman Origins","Wii",2011,"Platform","Ubisoft",0.23,0.29,0.0,0.07,0.58
"WWE 2K16","XOne",2015,"Sports","Take-Two Interactive",0.31,0.22,0.0,0.05,0.58
"Titanfall","PC",2014,"Shooter","Electronic Arts",0.21,0.3,0.0,0.07,0.58
"Frozen: Olaf's Quest","3DS",2013,"Platform","Disney Interactive Studios",0.27,0.26,0.0,0.05,0.58
"Transformers: War for Cybertron (XBox 360, PS3, & PC Versions)","X360",2010,"Shooter","Activision",0.37,0.15,0.0,0.05,0.58
"Harvest Moon: The Tale of Two Towns","DS",2010,"Simulation","Natsume",0.27,0.06,0.22,0.03,0.58
"JoJo's Bizarre Adventure: All Star Battle","PS3",2013,"Fighting","Namco Bandai Games",0.05,0.02,0.5,0.01,0.58
"WWE 2K16","PS3",2015,"Sports","Take-Two Interactive",0.21,0.27,0.0,0.09,0.58
"Rock Band 3","PS3",2010,"Misc","MTV Games",0.43,0.09,0.0,0.06,0.58
"Disgaea 4: A Promise Unforgotten","PS3",2011,"Role-Playing","Nippon Ichi Software",0.27,0.11,0.14,0.06,0.58
"MLB 11: The Show","PS3",2011,"Sports","Sony Computer Entertainment",0.54,0.0,0.0,0.04,0.58
"Rooms: The Main Building","DS",2010,"Adventure","Nintendo",0.1,0.41,0.01,0.06,0.58
"Tetris Party Deluxe","Wii",2010,"Puzzle","Nintendo",0.34,0.17,0.02,0.05,0.58
"Shin Megami Tensei IV","3DS",2013,"Role-Playing","Atlus",0.28,0.0,0.27,0.02,0.57
"Disney Universe","X360",2011,"Action","Disney Interactive Studios",0.37,0.15,0.0,0.05,0.57
"Enslaved: Odyssey to the West","PS3",2010,"Action","Namco Bandai Games",0.24,0.24,0.01,0.09,0.57
"Warhammer 40,000: Space Marine","X360",2011,"Shooter","THQ",0.25,0.27,0.0,0.06,0.57
"Assassin's Creed II","PC",2010,"Action","Ubisoft",0.01,0.45,0.0,0.11,0.57
"Defiance","X360",2013,"Shooter","Trion Worlds",0.38,0.15,0.0,0.04,0.57
"Pro Evolution Soccer 2012","PSP",2011,"Action","Konami Digital Entertainment",0.1,0.12,0.29,0.07,0.57
"Grease","Wii",2010,"Misc","505 Games",0.27,0.25,0.0,0.05,0.57
"Skylanders: Spyro's Adventure","3DS",2011,"Action","Activision",0.32,0.2,0.0,0.05,0.57
"Spec Ops: The Line","PS3",2012,"Shooter","Take-Two Interactive",0.19,0.25,0.04,0.09,0.57
"NHL 14","PS3",2013,"Sports","Electronic Arts",0.28,0.19,0.0,0.09,0.57
