URL,SPECIAL CHAR IN URL,CHARSET,SERVER,CONTENT_LENGTH,ACCEPT_EN,WHOIS_COUNTRY,WHOIS_STATEPRO,WHOIS_REGDATE,WHOIS_UPDATED_DATE,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,Type
B0_2217,6:23,ISO-8859-1,None,6748,1,US,Arizona,31/12/1999 0:00,9/4/2017 0:00,7,4,5,630,7,4,244,630,7,0,0
B0_2240,7:23,UTF-8,nginx,,1,None,None,,,24,5,8,1740,24,11,696,1740,24,0,0
B0_23,6:23,None,None,,2,US,TX,30/7/1996 0:00,4/7/2016 0:00,19,7,6,2404,23,20,6179,2684,23,4,0
B0_241,6:23,UTF-8,None,,2,GB,None,9/5/2008 0:00,27/11/2015 0:00,19,14,6,1980,23,25,5737,2276,23,4,0
B0_285,6:23,UTF-8,None,,2,US,WI,23/4/1999 0:00,25/7/2016 0:00,4,0,1,519,8,8,1138,823,8,4,0
B0_465,6:23,UTF-8,cloudflare-nginx,,1,US,Oregon,4/2/1997 0:00,8/11/2014 0:00,10,0,5,1186,14,15,1900,1476,14,4,0
B0_599,6:23,ISO-8859-1,nginx/1.12.0,,1,IN,Andhra Pradesh,13/2/2003 0:00,14/2/2017 0:00,43,4,4,5738,47,50,56926,6046,47,4,0
B0_614,6:23,iso-8859-1,Apache,240,1,US,CA,17/5/2008 0:00,18/5/2016 0:00,8,0,2,723,10,11,1837,871,10,2,0
B0_622,6:23,ISO-8859-1,Apache,3985,1,CA,AB,30/5/2002 0:00,31/5/2016 0:00,40,17,16,3285,46,45,12003,3729,46,6,0
B0_790,6:23,us-ascii,Microsoft-HTTPAPI/2.0,324,1,None,None,20/10/2005 0:00,30/9/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_175,8:24,ISO-8859-1,nginx/1.6.2,6173,1,None,None,,,2,0,1,132,2,5,318,132,2,0,1
M0_89,9:24,iso-8859-1,Apache,319,1,IN,Tamil Nadu,,,7,0,2,720,9,10,1269,868,9,2,1
B0_108,6:24,utf-8,openresty,,1,LU,None,7/1/2006 0:00,14/12/2016 0:00,84,54,5,10490,96,106,106925,11482,96,12,0
B0_126,6:24,ISO-8859-1,None,34,1,US,VA,5/3/1996 5:00,27/5/2016 14:46,65,3,5,6286,69,75,90508,6596,69,4,0
B0_171,7:24,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,14,6,6,1907,18,18,5601,2171,18,4,0
B0_2301,6:24,utf-8,Heptu web server,1778,1,None,None,10/1/1998 0:00,11/11/2012 0:00,7,7,3,618,7,9,562,618,7,0,0
B0_2313,6:24,utf-8,Pepyaka/1.11.3,,1,None,None,27/4/2016 0:00,29/4/2017 0:00,6,3,2,528,6,4,244,528,6,0,0
B0_2315,6:24,us-ascii,Microsoft-HTTPAPI/2.0,324,1,CA,quebec,7/4/2011 0:00,8/4/2017 0:00,6,4,4,564,6,8,508,564,6,0,0
B0_282,8:24,iso-8859-1,Apache/2.2.22,224,1,US,MA,26/2/2009 0:00,6/1/2017 0:00,19,2,4,2131,23,23,9471,2441,23,4,0
B0_321,6:24,utf-8,nginx/1.8.0,,1,CA,ON,3/7/2002 0:00,2/7/2016 0:00,12,2,7,984,16,16,1839,1292,16,4,0
B0_326,7:24,iso-8859-1,Apache,318,1,None,None,,,21,1,8,1606,25,13,1276,1914,25,4,0
B0_483,7:24,utf-8,nginx/1.10.1 + Phusion Passenger 5.0.30,,1,None,None,21/2/1995 0:00,19/2/2017 0:00,16,6,8,2279,22,22,2562,2729,22,6,0
B0_543,6:24,iso-8859-1,Apache/2,345,1,US,New Mexico,4/7/2007 0:00,5/7/2016 0:00,19,5,9,1390,21,25,3890,1540,21,2,0
B0_656,6:24,UTF-8,Apache,756,1,PA,PANAMA,2/7/1998 0:00,6/2/2017 0:00,23,3,15,2485,27,28,9332,2799,27,4,0
B0_1163,6:25,utf-8,Apache/2.2.29 (Amazon),,1,CA,British Columbia,10/3/2005 0:00,4/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1308,7:25,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1347,6:25,UTF-8,nginx,14839,1,US,NY,15/12/2004 0:00,13/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_2127,6:25,us-ascii,Microsoft-IIS/7.5,324,1,US,Massachusetts,25/2/2008 0:00,26/2/2017 0:00,5,2,4,474,5,4,250,474,5,0,0
B0_2224,6:25,UTF-8,LiteSpeed,,1,None,None,27/1/2005 0:00,15/11/2013 0:00,6,5,2,564,6,7,442,564,6,0,0
B0_468,6:25,UTF-8,Apache,,1,US,California,14/9/2006 0:00,9/9/2016 0:00,12,0,5,1327,16,17,14050,1615,16,4,0
B0_568,6:25,UTF-8,nginx,658,1,None,None,,,11,3,4,1232,15,16,9806,1530,15,4,0
B0_577,6:25,UTF-8,None,,1,TH,bangkok,30/4/2010 14:12,12/3/2017 1:47,18,7,9,1586,22,17,1735,1898,22,4,0
B0_704,6:25,ISO-8859-1,Apache,,1,US,CA,22/4/1997 0:00,22/2/2017 0:00,36,17,9,4737,42,35,10343,5173,42,6,0
B0_781,6:25,UTF-8,Apache,195,1,GB,WEST MIDLANDS,16/7/2016 0:00,22/12/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_786,6:25,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,CO,27/11/2016 19:09,1/2/2017 0:01,0,0,0,0,0,0,0,0,0,0,0
B0_886,6:25,ISO-8859-1,Apache,,1,US,California,30/10/2009 0:00,27/10/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_111,8:26,UTF-8,nginx,,1,None,None,12/3/2009 21:00,,12,0,2,1052,14,14,11935,1204,14,2,1
M0_15,8:26,utf-8,nginx,,1,None,None,9/3/2000 17:50,,9,1,2,878,11,12,2242,1018,11,2,1
M0_171,7:26,ISO-8859-1,nginx/1.12.0,4166,1,US,TEXAS,30/5/2008 0:00,30/5/2016 0:00,24,0,3,2508,30,30,21098,2992,30,6,1
M0_68,7:26,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,1,GB,WC1N,25/9/2000 0:00,18/7/2016 0:00,9,0,4,842,11,12,2101,994,11,2,1
M0_70,7:26,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,2,GB,WC1N,9/4/2002 0:00,10/4/2017 0:00,7,0,2,722,11,10,2000,1016,11,4,1
M0_72,7:26,ISO-8859-1,Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,962,2,GB,WC1N,9/4/2002 0:00,10/4/2017 0:00,7,0,2,722,11,9,1913,1036,11,4,1
B0_1125,6:26,utf-8,nginx,2688,1,US,Kentucky,11/1/1997 0:00,30/4/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1205,7:26,UTF-8,cloudflare-nginx,,1,US,MD,11/6/2000 0:00,3/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1321,6:26,UTF-8,nginx,,1,CA,ON,13/2/2002 19:55,23/2/2017 17:46,0,0,0,0,0,0,0,0,0,0,0
B0_1374,6:26,iso-8859-1,Apache,199,2,PA,PANAMA,19/12/2007 0:00,21/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_159,6:26,UTF-8,Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,3548,2,None,None,6/11/1997 0:00,6/11/2016 0:00,13,0,1,1378,19,19,6226,1856,19,6,0
B0_173,7:26,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,26,19,5,2727,30,19,5765,2991,30,4,0
B0_179,6:26,None,tsa_c,0,1,US,CA,21/1/2000 0:00,8/11/2016 0:00,43,39,3,6325,53,50,32025,7063,53,10,0
B0_2027,6:26,ISO-8859-1,nginx/1.12.0,5426,1,US,NEW YORK,27/4/2009 0:00,27/2/2017 0:00,9,7,4,702,9,10,696,702,9,0,0
B0_2152,7:26,utf-8,Apache/2.2.0 (Fedora),,1,None,None,11/10/2000 0:00,12/12/2016 0:00,11,9,7,882,11,9,562,882,11,0,0
B0_2293,6:26,UTF-8,None,,1,CA,British Columbia,4/8/1998 0:00,10/4/2017 0:00,4,3,2,396,4,6,482,396,4,0,0
B0_256,6:26,iso-8859-1,Apache/2,345,1,US,FL,31/5/2000 0:00,2/4/2014 0:00,43,0,2,3252,47,47,60076,3564,47,4,0
B0_258,7:26,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,46,12,11,3783,50,18,5605,4047,50,4,0
B0_297,7:26,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,21,8,9,2373,25,27,6199,2637,25,4,0
B0_660,6:26,utf-8,cloudflare-nginx,,1,US,Washington,23/10/1999 0:00,13/8/2016 0:00,7,0,2,984,11,12,1650,1300,11,4,0
B0_793,6:26,ISO-8859-1,nginx/1.12.0,,1,US,Colorado,23/6/2010 0:00,23/4/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_859,6:26,us-ascii,None,324,1,US,TX,9/3/2000 0:00,13/2/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_883,6:26,UTF-8,cloudflare-nginx,,1,US,PA,13/4/1994 0:00,13/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_928,6:26,UTF-8,nginx,,1,US,LA,9/6/2010 0:00,21/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_982,6:26,utf-8,nginx/1.12.0,,1,US,Arizona,29/4/2009 0:00,8/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_67,7:27,UTF-8,Apache/2.2.22 (Debian),8756,1,GB,WC1N,16/6/2000 0:00,16/2/2016 0:00,38,0,3,4207,44,45,39662,4679,44,6,1
M0_75,7:27,UTF-8,Apache,193,1,US,PA,19/1/2015 0:00,3/3/2017 0:00,9,0,1,1838,11,13,4524,1992,11,2,1
B0_1209,8:27,UTF-8,nginx,,1,US,WA,11/11/2015 0:00,13/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1353,6:27,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,CO,22/3/2017 0:00,23/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_2085,6:27,utf-8,openresty/1.11.2.1,,1,US,TEXAS,3/11/2009 0:00,4/3/2017 0:00,3,3,1,366,3,5,306,366,3,0,0
B0_362,6:27,UTF-8,Apache/2.2.15 (CentOS),,1,AU,Queensland,19/7/2010 20:03,20/9/2016 13:11,40,13,14,3781,46,44,34101,4253,46,6,0
B0_453,6:27,UTF-8,Apache/2.4.25,7967,1,None,None,28/4/1997 0:00,24/4/2017 0:00,6,0,4,631,8,11,812,787,8,2,0
B0_966,7:27,ISO-8859-1,Apache,11506,1,US,FL,4/3/1996 0:00,7/1/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_21,9:28,UTF-8,Apache/2.2.15 (CentOS),,1,RU,MOSCOW,24/10/2007 0:00,22/10/2016 0:00,5,0,1,592,7,9,1062,732,7,2,1
M0_94,7:28,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,FL,21/10/2004 0:00,14/10/2014 0:00,5,0,2,556,9,9,1154,860,9,4,1
B0_1020,8:28,utf-8,nginx,39036,1,UK,UK,,,0,0,0,0,0,0,0,0,0,0,0
B0_1038,6:28,ISO-8859-1,None,,1,US,CA,29/3/1997 0:00,29/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1357,7:28,iso-8859-1,Apache,,1,FR,None,10/6/2008 0:00,9/6/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1413,7:28,ISO-8859-1,cloudflare-nginx,,1,NL,none,30/11/1999 0:00,6/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_2061,7:28,us-ascii,None,,1,US,NH,30/8/2004 0:00,18/8/2016 0:00,6,4,3,552,6,8,612,552,6,0,0
B0_2182,7:28,ISO-8859-1,cloudflare-nginx,,1,NL,none,30/11/1999 0:00,6/3/2017 0:00,8,4,6,696,8,10,634,696,8,0,0
B0_2228,6:28,us-ascii,Microsoft-IIS/7.5,324,1,US,Pennsylvania,11/11/1996 0:00,27/4/2015 0:00,5,3,3,474,5,6,364,474,5,0,0
B0_229,7:28,utf-8,Apache,8578,1,CA,ON,2/10/1995 4:00,30/9/2016 9:12,21,7,5,2830,29,25,6137,3400,29,8,0
B0_2309,6:28,UTF-8,Apache,10576,1,IN,UTTAR PRADESH,28/6/2011 0:00,2/3/2017 0:00,14,9,2,2094,14,12,8019,2094,14,0,0
B0_310,7:28,us-ascii,Microsoft-IIS/7.5,324,1,None,None,16/8/2016 0:00,26/3/2017 0:00,17,1,7,1848,23,24,2167,2322,23,6,0
B0_332,7:28,UTF-8,Apache/2.4.25 (Amazon) PHP/7.0.14,12846,1,US,NC,9/5/2000 17:31,11/10/2016 0:20,17,12,3,2314,23,27,21419,2740,23,6,0
B0_438,7:28,UTF-8,GSE,6666,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,66,5,11,6311,70,64,63634,6633,70,4,0
B0_563,6:28,iso-8859-1,Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,445,1,US,FL,14/5/1999 0:00,2/4/2014 0:00,28,5,8,2324,30,33,24662,2482,30,2,0
B0_638,8:28,UTF-8,Apache,,1,US,Arizona,24/4/2009 0:00,18/3/2017 0:00,6,0,3,632,8,8,593,776,8,2,0
B0_695,7:28,us-ascii,Microsoft-HTTPAPI/2.0,324,1,None,None,,,33,26,4,3590,39,48,30057,4064,39,6,0
B0_835,6:28,utf-8,Pepyaka/1.11.3,,1,US,NY,6/8/1998 0:00,7/11/2014 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_96,6:28,utf-8,None,,1,US,CA,22/2/1996 0:00,16/1/2015 0:00,26,19,3,2632,30,36,27404,2916,30,4,0
B0_981,6:28,UTF-8,nginx,18438,1,US,California,15/6/2007 0:00,12/5/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_106,7:29,ISO-8859-1,Apache,7314,1,US,MD,21/9/2009 0:00,9/8/2016 0:00,34,0,2,2934,40,40,34995,3416,40,6,1
M0_74,7:29,us-ascii,Microsoft-HTTPAPI/2.0,324,1,UG,kireka,9/4/2002 0:00,18/4/2017 0:00,5,0,2,593,7,8,1128,751,7,2,1
B0_1044,6:29,ISO-8859-1,Apache,,1,US,CA,22/4/1997 0:00,22/2/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1051,6:29,None,tsa_c,0,1,US,CA,21/1/2000 0:00,8/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1095,8:29,ISO-8859-1,Apache,9136,1,US,CA,20/1/1995 0:00,22/11/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1096,6:29,UTF-8,Apache,5019,1,US,IL,28/3/2006 0:00,24/2/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1117,7:29,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1154,6:29,iso-8859-1,Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips,210,1,US,Missouri,28/9/2007 16:06,28/3/2017 18:24,0,0,0,0,0,0,0,0,0,0,0
B0_1287,6:29,UTF-8,Apache/2.2.22 (Debian),8654,1,JP,Osaka,4/2/2017 0:00,4/2/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_1408,7:29,iso-8859-1,Apache/2.2.22 (Ubuntu),238,1,CA,QC,7/3/1996 0:00,9/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_170,6:29,ISO-8859-1,Apache,26856,1,None,None,4/4/2003 0:00,5/4/2017 0:00,26,6,5,2519,30,30,22379,2851,30,4,0
B0_2024,6:29,us-ascii,Microsoft-HTTPAPI/2.0,324,1,US,Michigan,26/8/2015 0:00,26/8/2016 0:00,12,8,6,900,12,9,568,900,12,0,0
B0_2089,7:29,UTF-8,Apache/2.2.22,,1,CA,AB,22/7/2004 0:00,23/6/2016 0:00,709,708,3,2362906,709,837,83056,2362906,709,0,0
B0_2123,6:29,UTF-8,Apache,10210,1,US,CA,30/11/2004 0:00,7/3/2017 0:00,5,4,2,486,5,7,542,486,5,0,0
B0_2128,6:29,ISO-8859-1,Apache,13684,1,US,Maryland,5/3/2008 0:00,14/4/2016 0:00,15,8,7,1134,15,9,605,1134,15,0,0
B0_2166,6:29,us-ascii,None,324,1,CA,Ontario,8/5/2003 0:00,9/5/2016 0:00,3,3,1,366,3,5,306,366,3,0,0
B0_2242,6:29,iso-8859-1,nginx/1.12.0,770,1,US,South Carolina,2/11/2010 21:52,20/10/2015 23:34,5,3,3,486,5,7,436,486,5,0,0
B0_2266,8:29,UTF-8,Apache/2.4.25,6813,1,US,Texas,23/5/2006 0:00,13/7/2016 0:00,17,9,10,1249,17,15,1062,1249,17,0,0
B0_259,6:29,us-ascii,Microsoft-HTTPAPI/2.0,324,1,None,None,2/7/1998 0:00,5/7/2016 0:00,34,9,6,2861,38,26,15260,3229,38,4,0
B0_44,6:29,ISO-8859-1,None,34,1,US,California,2/12/1998 0:00,2/12/2016 0:00,10,2,9,612,12,14,918,772,12,2,0
B0_448,7:29,ISO-8859-1,Apache,,1,US,CA,22/4/1997 0:00,22/2/2017 0:00,32,21,8,4561,38,36,10429,4997,38,6,0
B0_499,8:29,UTF-8,GSE,20404,1,US,CA,31/7/2000 0:00,29/6/2016 0:00,33,6,5,3533,37,35,46688,3859,37,4,0
B0_626,8:29,UTF-8,Tengine,,1,CN,Zhejiang,15/4/1999 0:00,20/6/2012 0:00,28,0,5,3183,36,33,24455,3777,36,8,0
B0_642,6:29,UTF-8,Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,7159,1,US,Arizona,30/5/2003 0:00,10/7/2015 0:00,21,6,11,1515,23,18,1334,1675,23,2,0
B0_726,6:29,utf-8,Apache/2.2.15 (CentOS),,1,US,New Mexico,10/1/2002 0:57,26/2/2014 23:35,24,1,3,2195,29,30,55576,2515,29,4,0
B0_887,6:29,iso-8859-1,Apache,388,1,US,New York,17/3/2006 0:00,14/8/2013 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_894,6:29,ISO-8859-1,Apache/2,199,1,None,None,1/3/1999 0:00,7/3/2013 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_920,8:29,us-ascii,Microsoft-HTTPAPI/2.0,324,1,AU,QLD,1/7/2015 0:00,4/3/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_942,6:29,ISO-8859-1,nginx/1.12.0,,2,CA,ON,22/1/2006 0:00,22/1/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_978,6:29,utf-8,None,,1,US,CA,22/2/1996 0:00,16/1/2015 0:00,0,0,0,0,0,0,0,0,0,0,0
M0_112,8:30,iso-8859-1,Apache,177,1,None,None,,,7,0,2,666,9,9,1094,826,9,2,1
B0_1052,6:30,utf-8,Apache/2.4.10 (Debian),,1,SE,None,6/3/1996 5:00,28/10/2013 10:54,0,0,0,0,0,0,0,0,0,0,0
B0_1388,6:30,iso-8859-1,Apache/2.4.6 (CentOS) PHP/5.6.8,199,1,US,MA,8/2/2013 0:00,15/3/2017 0:00,0,0,0,0,0,0,0,0,0,0,0
B0_160,7:30,utf-8,nginx,,1,US,NY,23/3/1995 0:00,3/3/2017 0:00,14,9,3,1918,18,17,5546,2182,18,4,0
B0_169,6:30,ISO-8859-1,None,,2,US,CA,29/3/1997 0:00,29/11/2016 0:00,62,52,12,8974,76,69,30726,10006,76,14,0
B0_209,6:30,ISO-8859-1,Apache,,1,US,CA,22/4/1997 0:00,22/2/2017 0:00,22,17,2,3914,28,27,9833,4350,28,6,0
B0_2097,6:30,ISO-8859-1,Sun-ONE-Web-Server/6.1,,1,None,None,15/4/2003 0:00,19/2/2016 0:00,18,17,5,1188,18,19,1451,1188,18,0,0
B0_2206,6:30,None,Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10,,1,US,WI,24/10/1996 0:00,19/10/2016 0:00,6,4,4,552,6,9,564,552,6,0,0
B0_2282,6:30,UTF-8,Apache,14703,1,US,Texas,4/8/1998 0:00,4/9/2013 0:00,2,2,1,276,2,4,250,276,2,0,0
B0_330,6:30,UTF-8,nginx,8751,1,US,FL,30/4/2016 0:00,4/10/2016 0:00,15,2,6,1528,19,17,5586,1860,19,4,0
B0_348,6:30,us-ascii,Microsoft-HTTPAPI/2.0,324,2,US,NJ,30/12/1999 0:00,8/1/2016 0:00,90,6,14,8646,92,100,95659,8808,92,2,0
B0_369,7:30,ISO-8859-1,Apache,,1,US,CA,22/4/1997 0:00,22/2/2017 0:00,31,26,2,4412,37,37,27412,4848,37,6,0
B0_560,6:30,utf-8,None,,1,US,CA,22/2/1996 0:00,16/1/2015 0:00,31,23,3,3605,39,41,34388,4183,39,8,0
B0_639,6:30,ISO-8859-1,None,,1,US,CA,29/3/1997 0:00,29/11/2016 0:00,76,47,12,9007,88,44,23985,9891,88,12,0
B0_711,7:30,utf-8,AmazonS3,350,2,US,Arizona,13/7/2001 0:00,26/4/2015 0:00,23,1,10,1902,27,26,2764,2194,27,4,0
B0_73,7:30,ISO-8859-1,Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1,,1,US,GA,29/5/1996 0:00,21/3/2017 0:00,48,3,6,3418,52,48,57377,3706,52,4,0
B0_824,8:30,UTF-8,cloudflare-nginx,,2,US,CA,25/2/2004 0:00,16/1/2016 0:00,0,0,0,0,0,0,0,0,0,0,0
