"URL","CHARSET","SERVER","WHOIS_COUNTRY","WHOIS_STATEPRO","WHOIS_REGDATE","WHOIS_UPDATED_DATE","TCP_CONVERSATION_EXCHANGE","DIST_REMOTE_TCP_PORT","REMOTE_IPS","APP_BYTES","SOURCE_APP_BYTES","DNS_QUERY_TIMES","Type","NUMBER SPECIAL CHAR","TOTAL URL LENGTH"
"B0_22","UTF-8","NONE","GB","None","11/10/2002 0:00","6/10/2016 0:00",16,6,8,1492,2334,4,"benign",7,20
"B0_482","ISO-8859-1","NGINX","None","None","14/11/2002 0:00","19/4/2015 0:00",25,19,4,3946,16408,10,"benign",6,20
"B0_869","ISO-8859-1","APACHE/2.2.15 (RED HAT)","None","None",,,0,0,0,0,0,0,"benign",7,20
"M0_71","ISO-8859-1","APACHE/2.4.23 (UNIX) OPENSSL/1.0.1E-FIPS MOD_BWLIMITED/1.4","UK","None","16/7/2000 0:00","4/7/2015 0:00",7,0,1,717,1960,4,"malicious",7,21
"M0_97","ISO-8859-1","NGINX","RU","Novosibirskaya obl.","25/5/2013 0:00","23/5/2016 0:00",6,0,2,603,1580,2,"malicious",7,21
"B0_2303","US-ASCII","MICROSOFT-HTTPAPI/2.0","None","None","9/8/1999 0:00","10/2/2015 0:00",7,7,3,618,562,0,"benign",6,21
"B0_584","UTF-8","NGINX","None","None",,,13,1,5,1099,15476,2,"benign",6,21
"M0_69","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","CO","15/9/2013 0:00","25/2/2017 0:00",9,0,4,850,1354,2,"malicious",7,22
"B0_161","UTF-8","OPENRESTY/1.11.2.1","US","CA","3/7/1999 0:00","7/8/2015 0:00",39,29,6,3833,22495,4,"benign",6,22
"B0_2122","ISO-8859-1","NGINX","US","Tennessee","2/11/2003 0:00","29/6/2015 0:00",8,6,6,696,636,0,"benign",6,22
"B0_2176","ISO-8859-1","APACHE/2.2.22","None","None","12/8/2008 22:10","13/7/2016 17:36",4,3,2,420,372,0,"benign",6,22
"B0_569","UTF-8","APACHE/2.4.7 (UBUNTU)","AU","Vi","21/5/2009 0:00","15/5/2016 0:00",12,0,2,2259,5165,4,"benign",7,22
"B0_601","UTF-8","NGINX/1.12.0","US","FL","1/8/2002 0:00","22/3/2016 0:00",6,0,3,650,1417,4,"benign",6,22
"B0_884","ISO-8859-1","APACHE","US","OR","13/1/2005 0:00","2/3/2017 0:00",0,0,0,0,0,0,"benign",6,22
"B0_905","ISO-8859-1","NGINX/1.12.0","US","Texas","18/5/2005 19:41","19/5/2016 10:14",0,0,0,0,0,0,"benign",6,22
"B0_916","UTF-8","NGINX","CA","ALBERTA","4/1/2001 0:00","3/3/2017 0:00",0,0,0,0,0,0,"benign",6,22
"B0_102","UTF-8","APACHE","US","FL","28/2/2008 10:58","14/2/2017 20:27",16,3,11,1696,13422,2,"benign",6,23
"B0_1130","ISO-8859-1","APACHE/2.4.12 (UNIX) OPENSSL/1.0.1E-FIPS MOD_BWLIMITED/1.4","PA","PANAMA","8/12/2006 0:00","14/12/2015 0:00",0,0,0,0,0,0,"benign",6,23
"B0_1185","US-ASCII","MICROSOFT-HTTPAPI/2.0","se","None","16/6/2000 0:00","18/5/2016 0:00",0,0,0,0,0,0,"benign",6,23
"B0_1369","UTF-8","NGINX","None","None",,,0,0,0,0,0,0,"benign",6,23
"B0_1412","ISO-8859-1","ORACLE-IPLANET-WEB-SERVER/7.0","None","None","13/10/2000 0:00","27/4/2017 0:00",0,0,0,0,0,0,"benign",7,23
"B0_2217","ISO-8859-1","NONE","US","Arizona","31/12/1999 0:00","9/4/2017 0:00",7,4,5,630,244,0,"benign",6,23
"B0_2240","UTF-8","NGINX","None","None",,,24,5,8,1740,696,0,"benign",7,23
"B0_23","NONE","NONE","US","TX","30/7/1996 0:00","4/7/2016 0:00",19,7,6,2404,6179,4,"benign",6,23
"B0_241","UTF-8","NONE","GB","None","9/5/2008 0:00","27/11/2015 0:00",19,14,6,1980,5737,4,"benign",6,23
"B0_285","UTF-8","NONE","US","WI","23/4/1999 0:00","25/7/2016 0:00",4,0,1,519,1138,4,"benign",6,23
"B0_465","UTF-8","CLOUDFLARE-NGINX","US","Oregon","4/2/1997 0:00","8/11/2014 0:00",10,0,5,1186,1900,4,"benign",6,23
"B0_599","ISO-8859-1","NGINX/1.12.0","IN","Andhra Pradesh","13/2/2003 0:00","14/2/2017 0:00",43,4,4,5738,56926,4,"benign",6,23
"B0_614","ISO-8859-1","APACHE","US","CA","17/5/2008 0:00","18/5/2016 0:00",8,0,2,723,1837,2,"benign",6,23
"B0_622","ISO-8859-1","APACHE","CA","AB","30/5/2002 0:00","31/5/2016 0:00",40,17,16,3285,12003,6,"benign",6,23
"B0_790","US-ASCII","MICROSOFT-HTTPAPI/2.0","None","None","20/10/2005 0:00","30/9/2016 0:00",0,0,0,0,0,0,"benign",6,23
"M0_175","ISO-8859-1","NGINX/1.6.2","None","None",,,2,0,1,132,318,0,"malicious",8,24
"M0_89","ISO-8859-1","APACHE","IN","Tamil Nadu",,,7,0,2,720,1269,2,"malicious",9,24
"B0_108","UTF-8","OPENRESTY","LU","None","7/1/2006 0:00","14/12/2016 0:00",84,54,5,10490,106925,12,"benign",6,24
"B0_126","ISO-8859-1","NONE","US","VA","5/3/1996 5:00","27/5/2016 14:46",65,3,5,6286,90508,4,"benign",6,24
"B0_171","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",14,6,6,1907,5601,4,"benign",7,24
"B0_2301","UTF-8","HEPTU WEB SERVER","None","None","10/1/1998 0:00","11/11/2012 0:00",7,7,3,618,562,0,"benign",6,24
"B0_2313","UTF-8","PEPYAKA/1.11.3","None","None","27/4/2016 0:00","29/4/2017 0:00",6,3,2,528,244,0,"benign",6,24
"B0_2315","US-ASCII","MICROSOFT-HTTPAPI/2.0","CA","quebec","7/4/2011 0:00","8/4/2017 0:00",6,4,4,564,508,0,"benign",6,24
"B0_282","ISO-8859-1","APACHE/2.2.22","US","MA","26/2/2009 0:00","6/1/2017 0:00",19,2,4,2131,9471,4,"benign",8,24
"B0_321","UTF-8","NGINX/1.8.0","CA","ON","3/7/2002 0:00","2/7/2016 0:00",12,2,7,984,1839,4,"benign",6,24
"B0_326","ISO-8859-1","APACHE","None","None",,,21,1,8,1606,1276,4,"benign",7,24
"B0_483","UTF-8","NGINX/1.10.1 + PHUSION PASSENGER 5.0.30","None","None","21/2/1995 0:00","19/2/2017 0:00",16,6,8,2279,2562,6,"benign",7,24
"B0_543","ISO-8859-1","APACHE/2","US","New Mexico","4/7/2007 0:00","5/7/2016 0:00",19,5,9,1390,3890,2,"benign",6,24
"B0_656","UTF-8","APACHE","PA","PANAMA","2/7/1998 0:00","6/2/2017 0:00",23,3,15,2485,9332,4,"benign",6,24
"B0_1163","UTF-8","APACHE/2.2.29 (AMAZON)","CA","British Columbia","10/3/2005 0:00","4/1/2017 0:00",0,0,0,0,0,0,"benign",6,25
"B0_1308","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",0,0,0,0,0,0,"benign",7,25
"B0_1347","UTF-8","NGINX","US","NY","15/12/2004 0:00","13/11/2016 0:00",0,0,0,0,0,0,"benign",6,25
"B0_2127","US-ASCII","MICROSOFT-IIS/7.5","US","Massachusetts","25/2/2008 0:00","26/2/2017 0:00",5,2,4,474,250,0,"benign",6,25
"B0_2224","UTF-8","LITESPEED","None","None","27/1/2005 0:00","15/11/2013 0:00",6,5,2,564,442,0,"benign",6,25
"B0_468","UTF-8","APACHE","US","California","14/9/2006 0:00","9/9/2016 0:00",12,0,5,1327,14050,4,"benign",6,25
"B0_568","UTF-8","NGINX","None","None",,,11,3,4,1232,9806,4,"benign",6,25
"B0_577","UTF-8","NONE","TH","bangkok","30/4/2010 14:12","12/3/2017 1:47",18,7,9,1586,1735,4,"benign",6,25
"B0_704","ISO-8859-1","APACHE","US","CA","22/4/1997 0:00","22/2/2017 0:00",36,17,9,4737,10343,6,"benign",6,25
"B0_781","UTF-8","APACHE","GB","WEST MIDLANDS","16/7/2016 0:00","22/12/2016 0:00",0,0,0,0,0,0,"benign",6,25
"B0_786","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","CO","27/11/2016 19:09","1/2/2017 0:01",0,0,0,0,0,0,"benign",6,25
"B0_886","ISO-8859-1","APACHE","US","California","30/10/2009 0:00","27/10/2016 0:00",0,0,0,0,0,0,"benign",6,25
"M0_111","UTF-8","NGINX","None","None","12/3/2009 21:00",,12,0,2,1052,11935,2,"malicious",8,26
"M0_15","UTF-8","NGINX","None","None","9/3/2000 17:50",,9,1,2,878,2242,2,"malicious",8,26
"M0_171","ISO-8859-1","NGINX/1.12.0","US","TEXAS","30/5/2008 0:00","30/5/2016 0:00",24,0,3,2508,21098,6,"malicious",7,26
"M0_68","ISO-8859-1","APACHE/2.4.23 (UNIX) OPENSSL/1.0.1E-FIPS MOD_BWLIMITED/1.4","GB","WC1N","25/9/2000 0:00","18/7/2016 0:00",9,0,4,842,2101,2,"malicious",7,26
"M0_70","ISO-8859-1","APACHE/2.4.23 (UNIX) OPENSSL/1.0.1E-FIPS MOD_BWLIMITED/1.4","GB","WC1N","9/4/2002 0:00","10/4/2017 0:00",7,0,2,722,2000,4,"malicious",7,26
"M0_72","ISO-8859-1","APACHE/2.4.23 (UNIX) OPENSSL/1.0.1E-FIPS MOD_BWLIMITED/1.4","GB","WC1N","9/4/2002 0:00","10/4/2017 0:00",7,0,2,722,1913,4,"malicious",7,26
"B0_1125","UTF-8","NGINX","US","Kentucky","11/1/1997 0:00","30/4/2015 0:00",0,0,0,0,0,0,"benign",6,26
"B0_1205","UTF-8","CLOUDFLARE-NGINX","US","MD","11/6/2000 0:00","3/3/2017 0:00",0,0,0,0,0,0,"benign",7,26
"B0_1321","UTF-8","NGINX","CA","ON","13/2/2002 19:55","23/2/2017 17:46",0,0,0,0,0,0,"benign",6,26
"B0_1374","ISO-8859-1","APACHE","PA","PANAMA","19/12/2007 0:00","21/11/2016 0:00",0,0,0,0,0,0,"benign",6,26
"B0_159","UTF-8","APACHE/2.4.25 (CPANEL) OPENSSL/1.0.1E-FIPS MOD_BWLIMITED/1.4","None","None","6/11/1997 0:00","6/11/2016 0:00",13,0,1,1378,6226,6,"benign",6,26
"B0_173","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",26,19,5,2727,5765,4,"benign",7,26
"B0_179","NONE","TSA_C","US","CA","21/1/2000 0:00","8/11/2016 0:00",43,39,3,6325,32025,10,"benign",6,26
"B0_2027","ISO-8859-1","NGINX/1.12.0","US","NEW YORK","27/4/2009 0:00","27/2/2017 0:00",9,7,4,702,696,0,"benign",6,26
"B0_2152","UTF-8","APACHE/2.2.0 (FEDORA)","None","None","11/10/2000 0:00","12/12/2016 0:00",11,9,7,882,562,0,"benign",7,26
"B0_2293","UTF-8","NONE","CA","British Columbia","4/8/1998 0:00","10/4/2017 0:00",4,3,2,396,482,0,"benign",6,26
"B0_256","ISO-8859-1","APACHE/2","US","FL","31/5/2000 0:00","2/4/2014 0:00",43,0,2,3252,60076,4,"benign",6,26
"B0_258","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",46,12,11,3783,5605,4,"benign",7,26
"B0_297","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",21,8,9,2373,6199,4,"benign",7,26
"B0_660","UTF-8","CLOUDFLARE-NGINX","US","Washington","23/10/1999 0:00","13/8/2016 0:00",7,0,2,984,1650,4,"benign",6,26
"B0_793","ISO-8859-1","NGINX/1.12.0","US","Colorado","23/6/2010 0:00","23/4/2015 0:00",0,0,0,0,0,0,"benign",6,26
"B0_859","US-ASCII","NONE","US","TX","9/3/2000 0:00","13/2/2014 0:00",0,0,0,0,0,0,"benign",6,26
"B0_883","UTF-8","CLOUDFLARE-NGINX","US","PA","13/4/1994 0:00","13/3/2017 0:00",0,0,0,0,0,0,"benign",6,26
"B0_928","UTF-8","NGINX","US","LA","9/6/2010 0:00","21/6/2016 0:00",0,0,0,0,0,0,"benign",6,26
"B0_982","UTF-8","NGINX/1.12.0","US","Arizona","29/4/2009 0:00","8/3/2017 0:00",0,0,0,0,0,0,"benign",6,26
"M0_67","UTF-8","APACHE/2.2.22 (DEBIAN)","GB","WC1N","16/6/2000 0:00","16/2/2016 0:00",38,0,3,4207,39662,6,"malicious",7,27
"M0_75","UTF-8","APACHE","US","PA","19/1/2015 0:00","3/3/2017 0:00",9,0,1,1838,4524,2,"malicious",7,27
"B0_1209","UTF-8","NGINX","US","WA","11/11/2015 0:00","13/3/2017 0:00",0,0,0,0,0,0,"benign",8,27
"B0_1353","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","CO","22/3/2017 0:00","23/3/2017 0:00",0,0,0,0,0,0,"benign",6,27
"B0_2085","UTF-8","OPENRESTY/1.11.2.1","US","TEXAS","3/11/2009 0:00","4/3/2017 0:00",3,3,1,366,306,0,"benign",6,27
"B0_362","UTF-8","APACHE/2.2.15 (CENTOS)","AU","Queensland","19/7/2010 20:03","20/9/2016 13:11",40,13,14,3781,34101,6,"benign",6,27
"B0_453","UTF-8","APACHE/2.4.25","None","None","28/4/1997 0:00","24/4/2017 0:00",6,0,4,631,812,2,"benign",6,27
"B0_966","ISO-8859-1","APACHE","US","FL","4/3/1996 0:00","7/1/2015 0:00",0,0,0,0,0,0,"benign",7,27
"M0_21","UTF-8","APACHE/2.2.15 (CENTOS)","RU","MOSCOW","24/10/2007 0:00","22/10/2016 0:00",5,0,1,592,1062,2,"malicious",9,28
"M0_94","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","FL","21/10/2004 0:00","14/10/2014 0:00",5,0,2,556,1154,4,"malicious",7,28
"B0_1020","UTF-8","NGINX","UK","UK",,,0,0,0,0,0,0,"benign",8,28
"B0_1038","ISO-8859-1","NONE","US","CA","29/3/1997 0:00","29/11/2016 0:00",0,0,0,0,0,0,"benign",6,28
"B0_1357","ISO-8859-1","APACHE","FR","None","10/6/2008 0:00","9/6/2016 0:00",0,0,0,0,0,0,"benign",7,28
"B0_1413","ISO-8859-1","CLOUDFLARE-NGINX","NL","none","30/11/1999 0:00","6/3/2017 0:00",0,0,0,0,0,0,"benign",7,28
"B0_2061","US-ASCII","NONE","US","NH","30/8/2004 0:00","18/8/2016 0:00",6,4,3,552,612,0,"benign",7,28
"B0_2182","ISO-8859-1","CLOUDFLARE-NGINX","NL","none","30/11/1999 0:00","6/3/2017 0:00",8,4,6,696,634,0,"benign",7,28
"B0_2228","US-ASCII","MICROSOFT-IIS/7.5","US","Pennsylvania","11/11/1996 0:00","27/4/2015 0:00",5,3,3,474,364,0,"benign",6,28
"B0_229","UTF-8","APACHE","CA","ON","2/10/1995 4:00","30/9/2016 9:12",21,7,5,2830,6137,8,"benign",7,28
"B0_2309","UTF-8","APACHE","IN","UTTAR PRADESH","28/6/2011 0:00","2/3/2017 0:00",14,9,2,2094,8019,0,"benign",6,28
"B0_310","US-ASCII","MICROSOFT-IIS/7.5","None","None","16/8/2016 0:00","26/3/2017 0:00",17,1,7,1848,2167,6,"benign",7,28
"B0_332","UTF-8","APACHE/2.4.25 (AMAZON) PHP/7.0.14","US","NC","9/5/2000 17:31","11/10/2016 0:20",17,12,3,2314,21419,6,"benign",7,28
"B0_438","UTF-8","GSE","US","CA","31/7/2000 0:00","29/6/2016 0:00",66,5,11,6311,63634,4,"benign",7,28
"B0_563","ISO-8859-1","APACHE/2.4.23 (UNIX) OPENSSL/0.9.8E-FIPS-RHEL5 MOD_BWLIMITED/1.4","US","FL","14/5/1999 0:00","2/4/2014 0:00",28,5,8,2324,24662,2,"benign",6,28
"B0_638","UTF-8","APACHE","US","Arizona","24/4/2009 0:00","18/3/2017 0:00",6,0,3,632,593,2,"benign",8,28
"B0_695","US-ASCII","MICROSOFT-HTTPAPI/2.0","None","None",,,33,26,4,3590,30057,6,"benign",7,28
"B0_835","UTF-8","PEPYAKA/1.11.3","US","NY","6/8/1998 0:00","7/11/2014 0:00",0,0,0,0,0,0,"benign",6,28
"B0_96","UTF-8","NONE","US","CA","22/2/1996 0:00","16/1/2015 0:00",26,19,3,2632,27404,4,"benign",6,28
"B0_981","UTF-8","NGINX","US","California","15/6/2007 0:00","12/5/2015 0:00",0,0,0,0,0,0,"benign",6,28
"M0_106","ISO-8859-1","APACHE","US","MD","21/9/2009 0:00","9/8/2016 0:00",34,0,2,2934,34995,6,"malicious",7,29
"M0_74","US-ASCII","MICROSOFT-HTTPAPI/2.0","UG","kireka","9/4/2002 0:00","18/4/2017 0:00",5,0,2,593,1128,2,"malicious",7,29
"B0_1044","ISO-8859-1","APACHE","US","CA","22/4/1997 0:00","22/2/2017 0:00",0,0,0,0,0,0,"benign",6,29
"B0_1051","NONE","TSA_C","US","CA","21/1/2000 0:00","8/11/2016 0:00",0,0,0,0,0,0,"benign",6,29
"B0_1095","ISO-8859-1","APACHE","US","CA","20/1/1995 0:00","22/11/2016 0:00",0,0,0,0,0,0,"benign",8,29
"B0_1096","UTF-8","APACHE","US","IL","28/3/2006 0:00","24/2/2017 0:00",0,0,0,0,0,0,"benign",6,29
"B0_1117","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",0,0,0,0,0,0,"benign",7,29
"B0_1154","ISO-8859-1","APACHE/2.4.25 (AMAZON) OPENSSL/1.0.1K-FIPS","US","Missouri","28/9/2007 16:06","28/3/2017 18:24",0,0,0,0,0,0,"benign",6,29
"B0_1287","UTF-8","APACHE/2.2.22 (DEBIAN)","JP","Osaka","4/2/2017 0:00","4/2/2017 0:00",0,0,0,0,0,0,"benign",6,29
"B0_1408","ISO-8859-1","APACHE/2.2.22 (UBUNTU)","CA","QC","7/3/1996 0:00","9/3/2017 0:00",0,0,0,0,0,0,"benign",7,29
"B0_170","ISO-8859-1","APACHE","None","None","4/4/2003 0:00","5/4/2017 0:00",26,6,5,2519,22379,4,"benign",6,29
"B0_2024","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","Michigan","26/8/2015 0:00","26/8/2016 0:00",12,8,6,900,568,0,"benign",6,29
"B0_2089","UTF-8","APACHE/2.2.22","CA","AB","22/7/2004 0:00","23/6/2016 0:00",709,708,3,2362906,83056,0,"benign",7,29
"B0_2123","UTF-8","APACHE","US","CA","30/11/2004 0:00","7/3/2017 0:00",5,4,2,486,542,0,"benign",6,29
"B0_2128","ISO-8859-1","APACHE","US","Maryland","5/3/2008 0:00","14/4/2016 0:00",15,8,7,1134,605,0,"benign",6,29
"B0_2166","US-ASCII","NONE","CA","Ontario","8/5/2003 0:00","9/5/2016 0:00",3,3,1,366,306,0,"benign",6,29
"B0_2242","ISO-8859-1","NGINX/1.12.0","US","South Carolina","2/11/2010 21:52","20/10/2015 23:34",5,3,3,486,436,0,"benign",6,29
"B0_2266","UTF-8","APACHE/2.4.25","US","Texas","23/5/2006 0:00","13/7/2016 0:00",17,9,10,1249,1062,0,"benign",8,29
"B0_259","US-ASCII","MICROSOFT-HTTPAPI/2.0","None","None","2/7/1998 0:00","5/7/2016 0:00",34,9,6,2861,15260,4,"benign",6,29
"B0_44","ISO-8859-1","NONE","US","California","2/12/1998 0:00","2/12/2016 0:00",10,2,9,612,918,2,"benign",6,29
"B0_448","ISO-8859-1","APACHE","US","CA","22/4/1997 0:00","22/2/2017 0:00",32,21,8,4561,10429,6,"benign",7,29
"B0_499","UTF-8","GSE","US","CA","31/7/2000 0:00","29/6/2016 0:00",33,6,5,3533,46688,4,"benign",8,29
"B0_626","UTF-8","TENGINE","CN","Zhejiang","15/4/1999 0:00","20/6/2012 0:00",28,0,5,3183,24455,8,"benign",8,29
"B0_642","UTF-8","APACHE/2.4.18 (UNIX) OPENSSL/0.9.8E-FIPS-RHEL5 MOD_BWLIMITED/1.4","US","Arizona","30/5/2003 0:00","10/7/2015 0:00",21,6,11,1515,1334,2,"benign",6,29
"B0_726","UTF-8","APACHE/2.2.15 (CENTOS)","US","New Mexico","10/1/2002 0:57","26/2/2014 23:35",24,1,3,2195,55576,4,"benign",6,29
"B0_887","ISO-8859-1","APACHE","US","New York","17/3/2006 0:00","14/8/2013 0:00",0,0,0,0,0,0,"benign",6,29
"B0_894","ISO-8859-1","APACHE/2","None","None","1/3/1999 0:00","7/3/2013 0:00",0,0,0,0,0,0,"benign",6,29
"B0_920","US-ASCII","MICROSOFT-HTTPAPI/2.0","AU","QLD","1/7/2015 0:00","4/3/2016 0:00",0,0,0,0,0,0,"benign",8,29
"B0_942","ISO-8859-1","NGINX/1.12.0","CA","ON","22/1/2006 0:00","22/1/2017 0:00",0,0,0,0,0,0,"benign",6,29
"B0_978","UTF-8","NONE","US","CA","22/2/1996 0:00","16/1/2015 0:00",0,0,0,0,0,0,"benign",6,29
"M0_112","ISO-8859-1","APACHE","None","None",,,7,0,2,666,1094,2,"malicious",8,30
"B0_1052","UTF-8","APACHE/2.4.10 (DEBIAN)","SE","None","6/3/1996 5:00","28/10/2013 10:54",0,0,0,0,0,0,"benign",6,30
"B0_1388","ISO-8859-1","APACHE/2.4.6 (CENTOS) PHP/5.6.8","US","MA","8/2/2013 0:00","15/3/2017 0:00",0,0,0,0,0,0,"benign",6,30
"B0_160","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",14,9,3,1918,5546,4,"benign",7,30
"B0_169","ISO-8859-1","NONE","US","CA","29/3/1997 0:00","29/11/2016 0:00",62,52,12,8974,30726,14,"benign",6,30
"B0_209","ISO-8859-1","APACHE","US","CA","22/4/1997 0:00","22/2/2017 0:00",22,17,2,3914,9833,6,"benign",6,30
"B0_2097","ISO-8859-1","SUN-ONE-WEB-SERVER/6.1","None","None","15/4/2003 0:00","19/2/2016 0:00",18,17,5,1188,1451,0,"benign",6,30
"B0_2206","NONE","APACHE/2.4.18 (UNIX) OPENSSL/1.0.2E COMMUNIQUE/4.1.10","US","WI","24/10/1996 0:00","19/10/2016 0:00",6,4,4,552,564,0,"benign",6,30
"B0_2282","UTF-8","APACHE","US","Texas","4/8/1998 0:00","4/9/2013 0:00",2,2,1,276,250,0,"benign",6,30
"B0_330","UTF-8","NGINX","US","FL","30/4/2016 0:00","4/10/2016 0:00",15,2,6,1528,5586,4,"benign",6,30
"B0_348","US-ASCII","MICROSOFT-HTTPAPI/2.0","US","NJ","30/12/1999 0:00","8/1/2016 0:00",90,6,14,8646,95659,2,"benign",6,30
"B0_369","ISO-8859-1","APACHE","US","CA","22/4/1997 0:00","22/2/2017 0:00",31,26,2,4412,27412,6,"benign",7,30
"B0_560","UTF-8","NONE","US","CA","22/2/1996 0:00","16/1/2015 0:00",31,23,3,3605,34388,8,"benign",6,30
"B0_639","ISO-8859-1","NONE","US","CA","29/3/1997 0:00","29/11/2016 0:00",76,47,12,9007,23985,12,"benign",6,30
"B0_711","UTF-8","AMAZONS3","US","Arizona","13/7/2001 0:00","26/4/2015 0:00",23,1,10,1902,2764,4,"benign",7,30
"B0_73","ISO-8859-1","APACHE/1.3.37 (UNIX) MOD_PERL/1.29 MOD_SSL/2.8.28 OPENSSL/0.9.7E-P1","US","GA","29/5/1996 0:00","21/3/2017 0:00",48,3,6,3418,57377,4,"benign",7,30
"B0_824","UTF-8","CLOUDFLARE-NGINX","US","CA","25/2/2004 0:00","16/1/2016 0:00",0,0,0,0,0,0,"benign",8,30
"B0_891","UTF-8","NONE","US","CA","22/2/1996 0:00","16/1/2015 0:00",0,0,0,0,0,0,"benign",6,30
"B0_931","ISO-8859-1","APACHE","US","CA","22/4/1997 0:00","22/2/2017 0:00",0,0,0,0,0,0,"benign",7,30
"M0_73","US-ASCII","MICROSOFT-IIS/7.5","US","CA","9/4/2002 0:00","20/3/2017 0:00",7,0,2,707,1018,4,"malicious",7,31
"B0_1028","UTF-8","ATS","US","CA","18/1/1995 0:00","26/8/2015 0:00",0,0,0,0,0,0,"benign",8,31
"B0_1114","ISO-8859-1","APACHE/2.2.27 (CENTOS)","None","None","25/10/2014 0:00","26/10/2016 0:00",0,0,0,0,0,0,"benign",7,31
"B0_1127","ISO-8859-1","APACHE","US","CA","22/4/1997 0:00","22/2/2017 0:00",0,0,0,0,0,0,"benign",7,31
"B0_1241","UTF-8","APACHE","US","MO","20/5/1996 0:00","24/10/2016 0:00",0,0,0,0,0,0,"benign",8,31
"B0_140","ISO-8859-1","NONE","US","CA","29/3/1997 0:00","29/11/2016 0:00",65,53,14,8568,26049,12,"benign",6,31
"B0_2158","UTF-8","APACHE/2.2.29 (UNIX) MOD_SSL/2.2.29 OPENSSL/1.0.1E-FIPS DAV/2 MOD_BWLIMITED/1.4","None","None","14/7/2000 0:00","22/3/2017 0:00",9,3,7,738,766,0,"benign",6,31
"B0_2278","UTF-8","CHERRYPY/3.6.0","CA","ON","1/12/1996 5:00","30/11/2016 10:30",4,3,2,432,372,0,"benign",7,31
"B0_263","ISO-8859-1","APACHE/2.2.15 (CENTOS)","IN","HR","11/11/2000 0:00","3/5/2012 0:00",5,0,1,593,955,4,"benign",8,31
"B0_501","UTF-8","NGINX","US","NY","23/3/1995 0:00","3/3/2017 0:00",28,13,13,2773,6566,4,"benign",7,31
"B0_504","UTF-8","APACHE/2.2.15 (RED HAT)","US","FL","4/9/2004 0:00","24/8/2016 0:00",27,0,3,2743,43878,6,"benign",7,31
"B0_597","US-ASCII","MICROSOFT-IIS/7.5","US","Missouri","9/9/2005 13:44","10/9/2016 13:29",23,1,4,2262,16553,6,"benign",6,31
"B0_65","US-ASCII","MICROSOFT-HTTPAPI/2.0","None","None",,,18,14,3,2201,7756,4,"benign",6,31
"B0_658","ISO-8859-1","APACHE","None","None","22/4/1997 0:00","22/2/2017 0:00",23,17,3,3981,9867,6,"benign",6,31
